iter	Logloss
0	0.6347464627
1	0.5748839192
2	0.5294530426
3	0.4872234515
4	0.4517899232
5	0.421189493
6	0.3912104361
7	0.3664953174
8	0.3424437082
9	0.3289970088
10	0.3111582793
11	0.2919517637
12	0.2784542933
13	0.2628175866
14	0.2517107455
15	0.2436534625
16	0.2360072076
17	0.2257008114
18	0.2159940723
19	0.2125819546
20	0.2094609601
21	0.2040599905
22	0.2000630218
23	0.1945168233
24	0.190409962
25	0.1839310283
26	0.180071414
27	0.177270094
28	0.1727076013
29	0.1691028096
30	0.1654577533
31	0.1640739884
32	0.1629483486
33	0.1608527931
34	0.158290135
35	0.156683964
36	0.1539067207
37	0.1496539594
38	0.1481658512
39	0.1452483823
40	0.1434122404
41	0.1425352269
42	0.1418162717
43	0.1394566288
44	0.1388362559
45	0.1366583929
46	0.1357171497
47	0.1347437086
48	0.1338757908
49	0.1331180634
50	0.132662746
51	0.1305207129
52	0.1294378143
53	0.1285693238
54	0.1271255405
55	0.1263866133
56	0.125865749
57	0.1246657347
58	0.1205938011
59	0.1193465786
60	0.1187094768
61	0.1173547217
62	0.1166020124
63	0.115654426
64	0.1149904935
65	0.1145653405
66	0.1142798937
67	0.113673965
68	0.1131440697
69	0.1111248458
70	0.110922577
71	0.1100014533
72	0.1082690067
73	0.1073753303
74	0.1061481724
75	0.105516259
76	0.1036541212
77	0.1028200064
78	0.1024236855
79	0.1020209032
80	0.1017004372
81	0.1005087583
82	0.1001899041
83	0.09842323857
84	0.0980441206
85	0.09719832969
86	0.09682584576
87	0.09604707758
88	0.09541994246
89	0.09476530815
90	0.09341926246
91	0.09297916967
92	0.09238847117
93	0.0917260585
94	0.09113870511
95	0.09002303281
96	0.08945407405
97	0.08842445755
98	0.08810965442
99	0.08774430537
100	0.08703932259
101	0.08676206315
102	0.08649124748
103	0.08630010302
104	0.08614371143
105	0.08581294763
106	0.08559576656
107	0.08527844444
108	0.08506721595
109	0.08435454868
110	0.0842338966
111	0.08373458279
112	0.08300853146
113	0.08250880506
114	0.08202190685
115	0.08149679129
116	0.08058536987
117	0.07995916042
118	0.07922744888
119	0.07902594138
120	0.07846164209
121	0.07812500667
122	0.07767744289
123	0.07742560224
124	0.07723607622
125	0.07647480296
126	0.07614472643
127	0.07596121018
128	0.07543786639
129	0.07483017388
130	0.07444224324
131	0.07435511616
132	0.07378167115
133	0.07340505792
134	0.07321399641
135	0.0730709192
136	0.07275355862
137	0.07248831137
138	0.07201596455
139	0.07184298837
140	0.07169671251
141	0.07155623473
142	0.07130606243
143	0.07099711655
144	0.07092878664
145	0.07063901012
146	0.07050182711
147	0.0702313859
148	0.06995716534
149	0.0696706615
150	0.06947142261
151	0.06939422064
152	0.06928360211
153	0.0690068742
154	0.06883573607
155	0.06871564427
156	0.06863113156
157	0.06841810883
158	0.06813138347
159	0.06804395259
160	0.06751026587
161	0.06736588663
162	0.06722711638
163	0.06708022353
164	0.06702814803
165	0.06694362444
166	0.0668121314
167	0.06650655427
168	0.06643399123
169	0.0663257555
170	0.0661967407
171	0.06607766566
172	0.06576718901
173	0.06570134616
174	0.0655486501
175	0.06535285095
176	0.06502754724
177	0.06489310136
178	0.06481065297
179	0.0646912157
180	0.06445117951
181	0.06386866412
182	0.06330654541
183	0.0632276699
184	0.06290008747
185	0.06281756086
186	0.06270010499
187	0.06247445878
188	0.06242210562
189	0.06227904705
190	0.06219248562
191	0.06208645987
192	0.06203298228
193	0.06178493001
194	0.06172723875
195	0.06152568782
196	0.06148381369
197	0.06142259423
198	0.0611137593
199	0.06102721885
200	0.06096739391
201	0.06092551813
202	0.06070362126
203	0.0606426021
204	0.06039809487
205	0.06025796223
206	0.06015531147
207	0.06009275211
208	0.06005609337
209	0.05991818097
210	0.05982653806
211	0.05977778038
212	0.05955805467
213	0.05940688643
214	0.05935852494
215	0.05916957332
216	0.05912700874
217	0.05882427805
218	0.05877244221
219	0.05851503232
220	0.05848264856
221	0.05840792935
222	0.0582877647
223	0.05816164177
224	0.05811118992
225	0.05803650984
226	0.05777278762
227	0.05764061187
228	0.05742602866
229	0.05733108747
230	0.05729711477
231	0.05724798852
232	0.05720127681
233	0.05717251568
234	0.0571214249
235	0.05699511866
236	0.05687418773
237	0.05676377589
238	0.05659995242
239	0.05650324135
240	0.0563649968
241	0.05625843604
242	0.05622977583
